connection_id,from_var,to_var,relationship,description,from_type,to_type,citation_title,citation_authors,citation_year,citation_relevance,semantic_scholar_url,semantic_scholar_paper_id,citation_count,abstract,venue,fields_of_study
C14,Merge/Commit,Source Code,undeclared,Merging pull requests adds new code and features to the source code.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C15,Rejection Rate,Pull Request Under review,undeclared,Rejecting a pull request removes it from the 'under review' stock.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C16,Core Developer,PR Review Delay,undeclared,Fewer core developers increases the average delay for reviewing pull requests.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C17,PR Review Delay,PR Feedback,undeclared,Longer review delays slow down the provision of feedback to contributors.,Auxiliary,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C18,Skill up,New Contributors,undeclared,"As new contributors gain skills, they move out of the 'new' stock.",Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C19,Skill up,Experienced Contributors,undeclared,New contributors gaining skills increases the pool of experienced contributors.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C20,Promotion Rate,Experienced Contributors,undeclared,Promoting experienced contributors reduces their number in that stock.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C21,Promotion Rate,Core Developer,undeclared,Promoting experienced contributors increases the number of core developers.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C22,Joining Rate,New Contributors,undeclared,A higher joining rate increases the number of new contributors.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C23,Pull Request Under review,PR Feedback,undeclared,More pull requests under review increase the demand for providing feedback.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C24,Depreciation/Loss of Knowledge,Project's Implicit Knowledge,undeclared,"Knowledge loss, such as from documentation rot, depletes implicit knowledge.",Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C25,Developer's Turnover,Depreciation/Loss of Knowledge,positive,"Developer turnover directly causes a loss of their unique, implicit knowledge.",Flow,Flow,No verified citation found,No verified citation found,,,,,,,,
C26,Project's Implicit Knowledge,Implicit Knowledge Transfer (Mentorship),undeclared,A larger stock of implicit knowledge increases the potential for mentorship.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C27,Implicit Knowledge Transfer (Mentorship),Skill up,undeclared,Effective mentorship accelerates the skill development of contributors.,Auxiliary,Flow,No verified citation found,No verified citation found,,,,,,,,
C28,Implicit Knowledge Transfer (Mentorship),Promotion Rate,positive,Effective mentorship prepares and qualifies contributors for promotion.,Auxiliary,Flow,No verified citation found,No verified citation found,,,,,,,,
C29,Core Developer,Implicit Knowledge Transfer (Mentorship),positive,More core developers provide more capacity for mentorship and knowledge transfer.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C30,Knowledge Conversion Rate,Project's Implicit Knowledge,undeclared,Converting implicit knowledge into documentation adds to the implicit knowledge stock.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C31,Knowledge Conversion Rate,Projects's Explicit Knowledge,undeclared,Converting implicit knowledge into documentation adds to the explicit knowledge stock.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C32,Explicit to Implicit Conversion,Projects's Explicit Knowledge,undeclared,"Learning from documentation internalizes explicit knowledge, reducing its stock.",Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C33,Explicit to Implicit Conversion,Project's Implicit Knowledge,undeclared,"Learning from documentation internalizes knowledge, increasing implicit knowledge.",Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C34,PR Feedback,New Contributors,undeclared,Timely feedback encourages new contributors to remain and stay engaged.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C35,PR Feedback,Experienced Contributors,undeclared,Constructive feedback helps experienced contributors improve and feel valued.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C36,PR Feedback,Core Developer,undeclared,Positive feedback reinforces core developers' decisions and engagement.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C37,New Contributors,PR Feedback,undeclared,More new contributors submitting PRs increases the demand for feedback.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C38,Experienced Contributors,PR Feedback,undeclared,More experienced contributors submitting PRs increases the demand for feedback.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C39,PR Feedback,Pull Request Under review,undeclared,Providing feedback is a necessary step before a PR can be merged or rejected.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C40,Projects's Explicit Knowledge,"Explicit Knowledge Transfer (Documentation, Contributor's Guides)",undeclared,Better documentation and guides make explicit knowledge more accessible for transfer.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C41,"Explicit Knowledge Transfer (Documentation, Contributor's Guides)",Joining Rate,undeclared,"Good documentation lowers the barrier to entry, increasing the joining rate.",Auxiliary,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C42,"Explicit Knowledge Transfer (Documentation, Contributor's Guides)",Skill up,undeclared,Accessible documentation helps contributors learn and skill up faster.,Auxiliary,Flow,No verified citation found,No verified citation found,,,,,,,,
C43,Issue Creation Rate,Open Issues,undeclared,Users and developers reporting bugs or features increase open issues.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C44,Issue Resolution Rate,Open Issues,undeclared,Fixing issues reduces the number of open issues.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C45,Issue Resolution Rate,Closed Issues,undeclared,Fixing issues increases the number of closed issues.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C46,Open Issues,New Pr rate,positive,"More open issues represent more work, stimulating the creation of pull requests.",Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C47,Community engagement,Searchable Knowledge Base,undeclared,Community discussions and Q&A add valuable content to the knowledge base.,Flow,Stock,No verified citation found,No verified citation found,,,,,,,,
C48,PR Feedback,Searchable Knowledge Base,undeclared,Feedback and discussions in PRs become searchable knowledge for future reference.,Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C49,Closed Issues,Searchable Knowledge Base,undeclared,Resolved issues and their solutions are archived in the searchable knowledge base.,Stock,Stock,No verified citation found,No verified citation found,,,,,,,,
C50,Searchable Knowledge Base,Projects's Explicit Knowledge,positive,A growing knowledge base is a primary source for the project's explicit knowledge.,Stock,Stock,No verified citation found,No verified citation found,,,,,,,,
C51,Discussions,Searchable Knowledge Base,undeclared,Forum discussions and chats contribute problem-solving insights to the knowledge base.,Stock,Stock,No verified citation found,No verified citation found,,,,,,,,
C52,Project Reputation,Joining Rate,positive,"A strong project reputation attracts more potential contributors, increasing the joining rate.",Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C53,Project Reputation,User Base,undeclared,"A good reputation makes the software more attractive, potentially increasing the user base.",Stock,Stock,No verified citation found,No verified citation found,,,,,,,,
C54,Open Issues,Feedback,undeclared,"Open issues represent user needs and problems, generating feedback for the project.",Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C55,Feedback,Open Issues,undeclared,"User feedback often highlights new problems or features, creating more open issues.",Auxiliary,Stock,No verified citation found,No verified citation found,,,,,,,,
C56,Source Code,Issue Creation Rate,undeclared,"More source code has a larger surface area for bugs, increasing issue creation.",Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C57,Community Health,Project Reputation,positive,"A healthy, collaborative community is a positive signal that enhances project reputation.",Stock,Stock,No verified citation found,No verified citation found,,,,,,,,
C58,Project Reputation,Joining Rate,undeclared,A good reputation makes the project more attractive for new contributors to join.,Stock,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C59,"Explicit Knowledge Transfer (Documentation, Contributor's Guides)",Joining Rate,undeclared,Clear contributor guides make it easier for newcomers to join the project.,Auxiliary,Auxiliary,No verified citation found,No verified citation found,,,,,,,,
C60,Maintainer time,Issue Resolution Rate,undeclared,More maintainer time dedicated to issues increases the rate at which they are resolved.,Auxiliary,Flow,No verified citation found,No verified citation found,,,,,,,,
C61,Open Issues,Issue Resolution Rate,undeclared,A larger backlog of open issues can motivate or pressure the team to resolve them faster.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C62,Project Reputation,Reputation Decline,undeclared,A high reputation sets high expectations; failing to meet them accelerates reputation decline.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C63,Projects's Explicit Knowledge,Explicit to Implicit Conversion,undeclared,A rich base of documentation provides the material for contributors to learn and internalize.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C64,User Base,User Churn Rate,undeclared,A larger user base means a larger pool from which users can churn due to dissatisfaction.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C65,Pull Request Under review,Merge/Commit,undeclared,Pull requests that are successfully reviewed and approved are ready to be merged.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C66,Pull Request Under review,Rejection Rate,undeclared,Pull requests that fail review or do not meet standards are rejected.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C67,New Pull request,Review Rate,undeclared,An accumulation of new pull requests creates a queue that needs to be reviewed.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C68,Core Developer,Developer's Turnover,undeclared,"Core developers may experience burnout, leading to their turnover.",Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C69,Experienced Contributors,Promotion Rate,undeclared,Experienced contributors who demonstrate skill become candidates for promotion.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C70,New Contributors,Skill up,undeclared,New contributors actively learning and participating increase their skill level.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C71,Project's Implicit Knowledge,Depreciation/Loss of Knowledge,undeclared,A larger body of implicit knowledge is more susceptible to being lost over time.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C72,Project's Implicit Knowledge,Knowledge Conversion Rate,undeclared,A rich base of implicit knowledge provides more material to be documented and converted.,Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
C73,Community Health,Culture Erosion,undeclared,"An unhealthy community is more prone to conflict and attrition, accelerating culture erosion.",Stock,Flow,No verified citation found,No verified citation found,,,,,,,,
