loop_id,loop_type,loop_edges,description,citation_title,citation_authors,citation_year,citation_relevance,semantic_scholar_url,semantic_scholar_paper_id,citation_count,abstract,venue,fields_of_study
R04,reinforcing,Open Issues -> New Pr rate -> New Pull request -> Pull Request Under review -> Source Code -> Issue Creation Rate -> Open Issues,"This reinforcing loop can create a feature-driven workload spiral where more activity generates more code and complexity, leading to an increase in new issues being reported.",Use of relative code churn measures to predict system defect density,"Nagappan, N., Ball, T.",2005,"Empirically links higher change activity to defects, reinforcing that increased activity and complexity drive issue creation.",https://www.semanticscholar.org/paper/b65c215021f062ad66e1c5080d762f589b0dbbf4,b65c215021f062ad66e1c5080d762f589b0dbbf4,881,,"Proceedings. 27th International Conference on Software Engineering, 2005. ICSE 2005.",Computer Science
B01,balancing,Open Issues -> Issue Resolution Rate -> Open Issues,"This balancing loop stabilizes the issue backlog by increasing resolution efforts as the number of open issues grows, seeking an equilibrium.",Who should fix this bug?,"Anvik, J., Hiew, L., et al.",2006,"Bug triage techniques increase resolution capacity as backlog grows, contributing to a balancing effect on the issue queue.",https://www.semanticscholar.org/paper/b3b3c562a45d7710d6f62ad8f210ebca9a47d23f,b3b3c562a45d7710d6f62ad8f210ebca9a47d23f,1087,,International Conference on Software Engineering,Computer Science
B01,balancing,Open Issues -> Issue Resolution Rate -> Open Issues,"This balancing loop stabilizes the issue backlog by increasing resolution efforts as the number of open issues grows, seeking an equilibrium.",Characterizing and predicting which bugs get fixed,"Guo, P. J., Zimmermann, T., et al.",2010,"Shows how projects prioritize and resolve issues based on backlog characteristics, evidencing adaptive resolution efforts as open issues accumulate.",https://www.semanticscholar.org/paper/8f0dd644726fca7a553ea4ab424c5c48da9053a5,8f0dd644726fca7a553ea4ab424c5c48da9053a5,275,,2010 ACM/IEEE 32nd International Conference on Software Engineering,Computer Science
B01,balancing,Open Issues -> Issue Resolution Rate -> Open Issues,"This balancing loop stabilizes the issue backlog by increasing resolution efforts as the number of open issues grows, seeking an equilibrium.",What makes a good bug report?,"Bettenburg, N., Just, S., et al.",2008,"Better bug reports improve fix efficiency; as issue volume rises, communities adopt practices to improve report quality and throughput, stabilizing the backlog.",https://www.semanticscholar.org/paper/21fa1dba8539598210496cfcdb853fef719a0805,21fa1dba8539598210496cfcdb853fef719a0805,879,,IEEE Transactions on Software Engineering,Computer Science; Engineering
B01,balancing,Open Issues -> Issue Resolution Rate -> Open Issues,"This balancing loop stabilizes the issue backlog by increasing resolution efforts as the number of open issues grows, seeking an equilibrium.",Two case studies of open source software development: Apache and Mozilla,"Mockus, A., Fielding, R. T., et al.",2002,"Documents inflow/outflow dynamics and scaling of maintenance work in OSS, supporting backlog balancing through increased resolution effort.",https://www.semanticscholar.org/paper/b452c83fcdee0b9f3e02573144919487c1eae4d3,b452c83fcdee0b9f3e02573144919487c1eae4d3,1905,,TSEM,Computer Science
B02,balancing,Pull Request Under review -> Review Rate -> New Pull request -> Pull Request Under review,"This balancing loop regulates review workload by slowing the influx of new pull requests as the review queue grows, preventing reviewer burnout.","Expectations, outcomes, and challenges of modern code review","Bacchelli, A., Bird, C.",2013,"Identifies review process pressures and strategies to manage workload, indicating communities adapt policies to keep review queues sustainable.",https://www.semanticscholar.org/paper/3ad467fe13ffa8ee705d62d8228a2c254a96f5bd,3ad467fe13ffa8ee705d62d8228a2c254a96f5bd,744,,International Conference on Software Engineering,Computer Science
B03,balancing,User Base -> User Churn Rate -> User Base,"This balancing loop limits user base growth as a larger community naturally experiences some user churn, moving the system toward a stable size.",The open source software development phenomenon: An analysis based on social network theory,"Madey, G., Freeh, V., et al.",2002,Agent-based and network perspectives include joining and leaving dynamics; user churn naturally limits growth and tends toward equilibrium.,https://www.semanticscholar.org/paper/0634bf158f995676141846fb0d3e3e5a3ced5eb0,0634bf158f995676141846fb0d3e3e5a3ced5eb0,291,,,Computer Science
B03,balancing,User Base -> User Churn Rate -> User Base,"This balancing loop limits user base growth as a larger community naturally experiences some user churn, moving the system toward a stable size.","Community, joining, and specialization in open source software innovation: A case study","von Krogh, G., Spaeth, S., et al.",2003,"Documents participant flows and role changes over time, implying that as communities grow, some members churn out, balancing overall size.",https://www.semanticscholar.org/paper/b5ad2a6d67b8031668a53b704d7da9c0a8adbdce,b5ad2a6d67b8031668a53b704d7da9c0a8adbdce,1095,,,Computer Science
B03,balancing,User Base -> User Churn Rate -> User Base,"This balancing loop limits user base growth as a larger community naturally experiences some user churn, moving the system toward a stable size.",Understanding sustained participation in open source software projects,"Fang, Y., Neufeld, D.",2009,Shows that only a subset sustains long-term participation; attrition is expected and acts as a balancing mechanism on community size.,https://www.semanticscholar.org/paper/9e3beb8d9aa67d2cc705dff13577443ebb7f77d8,9e3beb8d9aa67d2cc705dff13577443ebb7f77d8,387,,Journal of Management Information Systems,Sociology; Computer Science
B04,balancing,Project Reputation -> Reputation Decline -> Project Reputation,"This balancing loop counteracts reputation growth, as high expectations or competing projects can lead to a decline, stabilizing the project's perceived value.",,,,,,,,,,
B05,balancing,Community Health -> Culture Erosion -> Community Health,"This balancing loop maintains community standards by triggering corrective actions when cultural erosion is detected, preserving the collaborative environment.",Socialization in an open source software community: A socio-technical analysis,"Ducheneaut, N.",2005,"Describes how norms and socialization maintain cooperative behavior; when norms weaken, communities enact measures to restore standards.",https://www.semanticscholar.org/paper/9e13b0df8c772d05019d54c453a51942151938ca,9e13b0df8c772d05019d54c453a51942151938ca,479,,Computer Supported Cooperative Work (CSCW),Computer Science
